intake_type,intake_condition,outcome_type,gender_intake,fixed_outcome,age_bucket,retriever,shepherd,beagle,terrier,boxer,poodle,rottweiler,dachshund,chihuahua,pitbull,time_bucket
Owner Surrender,Nursing,Adoption,Female,Spayed,1-6 weeks,0,0,0,0,0,0,0,0,0,0,12 weeks-6 months
Stray,Normal,Return to Owner,Male,Neutered,1-6 months,0,0,0,0,0,0,0,0,0,1,0-7 days
Stray,Normal,Transfer,Male,Intact,1-3 years,0,0,0,0,0,0,0,0,0,0,0-7 days
Owner Surrender,Normal,Adoption,Male,Neutered,1-6 months,0,0,0,0,0,0,0,0,0,1,0-7 days
Stray,Injured,Transfer,Male,Intact,1-3 years,0,0,0,0,0,0,0,0,0,1,1-3 weeks
Stray,Normal,Return to Owner,Male,Neutered,1-6 months,0,1,0,0,0,0,0,0,0,0,0-7 days
Stray,Normal,Adoption,Female,Spayed,1-3 years,1,0,0,0,1,0,0,0,0,0,7-12 weeks
Public Assist,Normal,Return to Owner,Male,Neutered,1-3 years,0,0,0,0,0,0,0,0,0,0,1-3 weeks
Stray,Normal,Euthanasia,Male,Intact,1-3 years,0,0,0,0,0,0,0,0,0,1,3-6 weeks
Stray,Normal,Return to Owner,Female,Spayed,1-3 years,0,0,0,1,0,0,0,0,0,0,0-7 days
Stray,Normal,Adoption,Female,Spayed,7-12 months,0,0,0,1,0,0,0,0,0,0,0-7 days
Stray,Normal,Transfer,Male,Intact,1-3 years,0,0,0,0,0,0,0,0,0,0,0-7 days
Stray,Normal,Return to Owner,Female,Spayed,1-3 years,1,0,0,0,0,0,0,0,0,0,0-7 days
Stray,Normal,Return to Owner,Male,Intact,7+ years,0,0,0,0,0,0,0,0,0,0,0-7 days
Owner Surrender,Normal,Adoption,Female,Spayed,4-6 years,0,0,0,0,0,0,0,0,0,0,0-7 days
Stray,Injured,Return to Owner,Male,Neutered,1-3 years,1,0,0,0,0,0,0,0,0,0,0-7 days
Stray,Normal,Return to Owner,Female,Spayed,1-3 years,0,0,0,1,0,0,0,0,1,0,0-7 days
Stray,Normal,Return to Owner,Female,Spayed,4-6 years,0,0,0,1,0,0,0,0,1,0,0-7 days
Stray,Normal,Return to Owner,Female,Spayed,4-6 years,0,0,0,0,0,1,0,0,0,0,0-7 days
Stray,Injured,Euthanasia,Female,Intact,7+ years,0,0,0,0,0,0,0,0,0,0,0-7 days
Stray,Normal,Adoption,Female,Spayed,1-3 years,0,1,0,0,0,0,0,0,0,0,0-7 days
Stray,Normal,Adoption,Male,Neutered,1-3 years,0,0,0,0,0,0,1,0,0,0,1-3 weeks
Public Assist,Normal,Return to Owner,Male,Neutered,7+ years,1,0,0,0,0,0,0,0,0,0,1-3 weeks
Stray,Normal,Adoption,Male,Neutered,1-6 months,0,1,0,0,0,0,0,0,0,0,0-7 days
Public Assist,Normal,Return to Owner,Male,Neutered,1-3 years,0,1,0,0,0,0,0,0,0,0,1-3 weeks
Owner Surrender,Normal,Adoption,Female,Spayed,1-3 years,0,0,0,0,0,0,0,0,0,0,1-3 weeks
Stray,Normal,Return to Owner,Male,Neutered,1-6 months,0,0,0,1,0,0,0,0,0,0,0-7 days
Stray,Normal,Transfer,Male,Neutered,1-3 years,0,0,0,1,0,0,0,0,0,0,1-3 weeks
Owner Surrender,Normal,Adoption,Male,Neutered,7+ years,0,0,0,1,0,0,0,0,0,0,0-7 days
Stray,Normal,Adoption,Male,Neutered,4-6 years,0,0,0,1,0,0,0,0,0,0,3-6 weeks
Stray,Normal,Transfer,Female,Intact,7-12 months,0,0,0,1,0,0,0,0,1,0,0-7 days
Stray,Normal,Return to Owner,Male,Neutered,7+ years,1,0,0,0,0,0,0,0,0,0,0-7 days
Owner Surrender,Normal,Transfer,Male,Neutered,1-3 years,0,0,0,1,0,0,0,0,1,0,0-7 days
